City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,port hedland,-20.3167,118.5667,84.25,79,100,11.5,AU,1680117073
216,pafos,34.7667,32.4167,55.18,58,75,4.61,CY,1680117073
217,hovd,48.0056,91.6419,39.9,34,100,3.4,MN,1680117074
218,okhotsk,59.3833,143.3,16.29,96,100,6.17,RU,1680117074
219,torbay,47.6666,-52.7314,37.38,87,99,8.99,CA,1680117074
220,sao joao da barra,-21.6403,-41.0511,86.09,75,94,9.37,BR,1680117074
221,beringovskiy,63.05,179.3167,19.06,93,100,9.84,RU,1680117074
222,sambava,-14.2667,50.1667,78.78,84,98,6.76,MG,1680117074
223,zeya,53.75,127.2667,21.74,85,100,7.67,RU,1680117075
224,iqaluit,63.7506,-68.5145,2.93,77,75,21.85,CA,1680117075
225,los llanos de aridane,28.6585,-17.9182,73.15,47,0,10.36,ES,1680117076
226,yellowknife,62.456,-114.3525,15.57,61,100,5.01,CA,1680117076
227,enna,37.5588,14.2892,45.54,91,99,4.68,IT,1680117076
228,lavrentiya,65.5833,-171.0,18.75,95,100,12.68,RU,1680117076
229,sao cristovao,-11.0147,-37.2064,84.11,65,75,13.8,BR,1680116929
230,barra do bugres,-15.0725,-57.1811,90.01,55,43,4.41,BR,1680117076
231,nantucket,41.2835,-70.0995,46.54,49,0,9.22,US,1680116982
232,saint-philippe,-21.3585,55.7679,78.39,79,91,9.86,RE,1680117076
233,olinda,-8.0089,-34.8553,78.53,83,75,8.05,BR,1680117077
234,upata,8.0086,-62.3989,93.58,28,85,4.65,VE,1680117077
235,comodoro rivadavia,-45.8667,-67.5,60.66,25,0,21.85,AR,1680117077
236,anzio,41.4853,12.6179,56.44,70,20,5.97,IT,1680117077
237,xalpatlahuac,17.4667,-98.6167,84.22,28,12,4.38,MX,1680117077
238,channel-port aux basques,47.5702,-59.1367,34.34,77,100,9.01,CA,1680117077
239,aguimes,27.9054,-15.4461,81.23,14,0,21.85,ES,1680117077
240,lysyye gory,51.5506,44.8414,47.82,74,100,6.98,RU,1680117078
241,attur,11.6,78.6167,77.79,79,5,3.53,IN,1680117027
242,talara,-4.5772,-81.2719,84.96,70,40,11.5,PE,1680117078
243,kalat,29.0225,66.5916,47.55,78,38,2.98,PK,1680117078
244,karratha,-20.7377,116.8463,82.67,75,100,15.95,AU,1680117078
245,minab,27.1467,57.0801,73.35,64,0,6.04,IR,1680117078
